"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/26/2023","10/26/2023","10/27/2023","","ACH Deposit","ACH","","","$1,000.00"
"10/26/2023","10/26/2023","10/27/2023","UBER","UBER 10/27/2023 Put $40.50","BTC","1","$0.40","($40.03)"
"10/24/2023","10/24/2023","10/25/2023","TSLA","TSLA 11/3/2023 Call $267.50","STO","1","$0.12","$11.95"
"10/24/2023","10/24/2023","10/26/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","1","$87.70","$87.70"
"10/24/2023","10/24/2023","10/25/2023","TSLA","TSLA 11/3/2023 Call $270.00","STO","1","$0.10","$9.95"
"10/20/2023","10/20/2023","10/23/2023","TSLA","Option Expiration for TSLA 10/20/2023 Call $295.00","OEXP","1","",""
"10/20/2023","10/20/2023","10/23/2023","TSLA","TSLA 10/20/2023 Put $230.00","OASGN","1","",""
"10/20/2023","10/20/2023","10/24/2023","TSLA","Tesla
CUSIP: 88160R101
1 TSLA Option Assigned","Buy","100","$230.00","($23,000.00)"
"10/20/2023","10/20/2023","10/23/2023","TSLA","TSLA 10/20/2023 Put $220.00","OASGN","1","",""
"10/20/2023","10/20/2023","10/24/2023","TSLA","Tesla
CUSIP: 88160R101
1 TSLA Option Assigned","Buy","100","$220.00","($22,000.00)"
"10/20/2023","10/20/2023","10/24/2023","TSLA","Tesla
CUSIP: 88160R101","Buy","4","$211.50","($846.00)"
"10/20/2023","10/20/2023","10/24/2023","TSLA","Tesla
CUSIP: 88160R101","Buy","1","$211.50","($211.50)"
"10/20/2023","10/20/2023","10/23/2023","","ACH Deposit","ACH","","","$1,000.00"
"10/20/2023","10/20/2023","10/24/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","3","$74.50","$223.50"
"10/20/2023","10/20/2023","10/24/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","2","$74.35","$148.70"
"10/19/2023","10/19/2023","10/20/2023","TSLA","TSLA 10/27/2023 Call $290.00","BTC","1","$0.03","($3.00)"
"10/18/2023","10/18/2023","10/19/2023","UBER","UBER 10/27/2023 Put $40.50","STO","1","$0.23","$22.98"
"10/18/2023","10/18/2023","10/19/2023","TSLA","TSLA 10/20/2023 Put $220.00","STO","1","$0.65","$64.98"
"10/17/2023","10/17/2023","10/18/2023","TSLA","TSLA 10/27/2023 Call $287.50","STO","1","$1.30","$129.98"
"10/17/2023","10/17/2023","10/18/2023","TSLA","TSLA 10/20/2023 Call $297.50","BTC","1","$0.16","($16.00)"
"10/17/2023","10/17/2023","10/18/2023","TSLA","TSLA 10/27/2023 Call $290.00","STO","1","$0.96","$95.98"
"10/16/2023","10/16/2023","10/17/2023","TSLA","TSLA 11/3/2023 Call $300.00","STO","1","$1.07","$106.98"
"10/16/2023","10/16/2023","10/17/2023","TSLA","TSLA 10/20/2023 Call $300.00","BTC","1","$0.14","($14.00)"
"10/16/2023","10/16/2023","10/17/2023","TSLA","TSLA 10/27/2023 Call $292.50","STO","1","$0.83","$82.98"
"10/11/2023","10/11/2023","10/12/2023","TSLA","TSLA 10/20/2023 Call $297.50","STO","1","$1.38","$137.98"
"10/11/2023","10/11/2023","10/12/2023","TSLA","TSLA 10/20/2023 Call $300.00","STO","1","$1.15","$114.98"
"10/11/2023","10/11/2023","10/12/2023","TSLA","TSLA 10/13/2023 Call $280.00","BTC","2","$0.35","($70.00)"
"10/9/2023","10/9/2023","10/10/2023","TSLA","TSLA 10/20/2023 Put $230.00","STO","1","$2.72","$271.98"
"10/6/2023","10/6/2023","10/9/2023","UBER","Option Expiration for UBER 10/6/2023 Put $44.00","OEXP","1","",""
"10/6/2023","10/6/2023","10/10/2023","TSLA","TSLA 10/13/2023 Put $227.50","BTC","1","$0.23","($23.00)"
"10/6/2023","10/6/2023","10/10/2023","TSLA","TSLA 10/13/2023 Call $282.50","BTC","1","$0.58","($58.00)"
"10/4/2023","10/4/2023","10/5/2023","UBER","UBER 10/6/2023 Put $44.00","STO","1","$0.29","$28.98"
"10/4/2023","10/4/2023","10/5/2023","TSLA","TSLA 10/6/2023 Put $232.50","BTC","1","$0.10","($10.00)"
"10/4/2023","10/4/2023","10/5/2023","TSLA","TSLA 10/20/2023 Call $295.00","STO","1","$1.97","$196.98"
"10/3/2023","10/3/2023","10/4/2023","TSLA","TSLA 10/6/2023 Call $280.00","BTC","1","$0.05","($5.00)"
"10/3/2023","10/3/2023","10/4/2023","TSLA","TSLA 10/13/2023 Put $227.50","STO","1","$2.50","$249.98"
"10/3/2023","10/3/2023","10/4/2023","TSLA","TSLA 10/13/2023 Call $280.00","STO","1","$0.78","$77.98"
"10/2/2023","10/2/2023","10/3/2023","TSLA","TSLA 10/13/2023 Call $282.50","STO","1","$0.72","$71.98"
"10/2/2023","10/2/2023","10/3/2023","TSLA","TSLA 10/6/2023 Put $232.50","STO","1","$1.15","$114.98"
"10/2/2023","10/2/2023","10/3/2023","","ACH Deposit","ACH","","","$2,000.00"
"9/29/2023","9/29/2023","10/2/2023","TSLA","Option Expiration for TSLA 9/29/2023 Put $240.00","OEXP","1","",""
"9/29/2023","9/29/2023","10/2/2023","TSLA","TSLA 9/29/2023 Call $260.00","BTC","2","$0.21","($42.06)"
"9/28/2023","9/28/2023","9/29/2023","TSLA","TSLA 10/6/2023 Call $292.50","BTC","1","$0.20","($20.00)"
"9/28/2023","9/28/2023","9/29/2023","TSLA","TSLA 9/29/2023 Call $260.00","STO","2","$0.10","$19.98"
"9/27/2023","9/27/2023","9/28/2023","TSLA","TSLA 10/13/2023 Call $280.00","STO","1","$1.62","$161.98"
"9/27/2023","9/27/2023","9/28/2023","TSLA","TSLA 9/29/2023 Call $287.50","BTC","1","$0.03","($3.00)"
"9/27/2023","9/27/2023","9/28/2023","TSLA","TSLA 9/29/2023 Call $275.00","BTC","1","$0.09","($9.00)"
"9/27/2023","9/27/2023","9/28/2023","TSLA","TSLA 10/6/2023 Call $280.00","STO","1","$0.81","$80.98"
"9/25/2023","9/25/2023","9/26/2023","TSLA","TSLA 9/29/2023 Call $275.00","STO","1","$0.19","$18.98"
"9/25/2023","9/25/2023","9/27/2023","ABCL","Abcellera Biologics
CUSIP: 00288U106","Sell","100","$4.92","$492.19"
"9/22/2023","9/22/2023","9/25/2023","TSLA","Option Expiration for TSLA 9/22/2023 Call $290.00","OEXP","1","",""
"9/22/2023","9/22/2023","9/25/2023","TSLA","TSLA 9/29/2023 Call $290.00","BTC","1","$0.17","($17.00)"
"9/22/2023","9/22/2023","9/25/2023","TSLA","TSLA 9/29/2023 Call $300.00","BTC","1","$0.08","($8.00)"
"9/22/2023","9/22/2023","9/25/2023","TSLA","TSLA 10/6/2023 Call $292.50","STO","1","$1.14","$113.98"
"9/20/2023","9/20/2023","9/21/2023","TSLA","TSLA 9/22/2023 Call $295.00","BTC","1","$0.07","($7.00)"
"9/20/2023","9/20/2023","9/21/2023","TSLA","TSLA 9/29/2023 Call $287.50","STO","1","$1.30","$129.98"
"9/20/2023","9/20/2023","9/21/2023","TSLA","TSLA 9/29/2023 Call $300.00","STO","1","$0.51","$50.98"
"9/19/2023","9/19/2023","9/20/2023","TSLA","TSLA 9/29/2023 Put $240.00","STO","1","$1.30","$129.98"
"9/19/2023","9/19/2023","9/20/2023","TSLA","TSLA 9/29/2023 Call $290.00","STO","1","$1.05","$104.98"
"9/18/2023","9/18/2023","9/19/2023","TSLA","TSLA 9/22/2023 Call $300.00","BTC","2","$0.16","($32.00)"
"9/18/2023","9/18/2023","9/19/2023","TSLA","TSLA 9/22/2023 Call $290.00","STO","1","$0.40","$39.98"
"9/15/2023","9/15/2023","9/18/2023","TSLA","Option Expiration for TSLA 9/15/2023 Put $257.50","OEXP","1","",""
"9/15/2023","9/15/2023","9/18/2023","TSLA","Option Expiration for TSLA 9/15/2023 Call $280.00","OEXP","1","",""
"9/15/2023","9/15/2023","9/18/2023","TSLA","Option Expiration for TSLA 9/15/2023 Call $285.00","OEXP","1","",""
"9/13/2023","9/13/2023","9/14/2023","TSLA","TSLA 9/22/2023 Call $300.00","STO","1","$1.30","$129.98"
"9/13/2023","9/13/2023","9/15/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","2","$82.45","$164.90"
"9/12/2023","9/12/2023","9/13/2023","TSLA","TSLA 9/15/2023 Put $257.50","STO","1","$0.85","$84.98"
"9/12/2023","9/12/2023","9/13/2023","TSLA","TSLA 9/15/2023 Put $260.00","BTC","1","$1.35","($135.00)"
"9/11/2023","9/11/2023","9/12/2023","TSLA","TSLA 9/15/2023 Put $260.00","STO","1","$2.07","$206.98"
"9/11/2023","9/11/2023","9/12/2023","TSLA","TSLA 9/22/2023 Call $300.00","STO","1","$1.40","$139.98"
"9/11/2023","9/11/2023","9/12/2023","TSLA","TSLA 9/15/2023 Call $290.00","BTC","1","$0.68","($68.00)"
"9/8/2023","9/8/2023","9/11/2023","UBER","UBER 9/8/2023 Call $46.50","OASGN","1","",""
"9/8/2023","9/8/2023","9/12/2023","UBER","Uber
CUSIP: 90353T100
1 UBER Option Assigned","Sell","100","$46.50","$4,649.95"
"9/7/2023","9/7/2023","9/8/2023","TSLA","TSLA 9/8/2023 Call $277.50","BTC","1","$0.03","($3.00)"
"9/5/2023","9/5/2023","9/6/2023","TSLA","TSLA 9/15/2023 Call $290.00","STO","1","$0.70","$69.98"
"9/5/2023","9/5/2023","9/6/2023","TSLA","TSLA 9/15/2023 Call $285.00","STO","1","$0.99","$98.98"
"9/5/2023","9/5/2023","9/6/2023","TSLA","TSLA 9/22/2023 Call $295.00","STO","1","$1.04","$103.98"
"9/5/2023","9/5/2023","9/6/2023","TSLA","TSLA 9/8/2023 Call $280.00","BTC","2","$0.18","($36.00)"
"9/5/2023","9/5/2023","9/6/2023","TSLA","TSLA 9/15/2023 Call $280.00","STO","1","$1.13","$112.98"
"9/5/2023","9/5/2023","9/6/2023","TSLA","TSLA 9/22/2023 Call $300.00","BTC","1","$0.88","($88.00)"
"9/5/2023","9/5/2023","9/6/2023","TSLA","TSLA 9/8/2023 Call $290.00","BTC","1","$0.08","($8.00)"
"8/31/2023","8/31/2023","9/1/2023","UBER","UBER 9/1/2023 Put $45.50","BTC","1","$0.03","($3.00)"
"8/30/2023","8/30/2023","8/31/2023","UBER","UBER 9/1/2023 Put $45.50","STO","1","$0.19","$18.98"
"8/30/2023","8/30/2023","8/31/2023","TSLA","TSLA 9/8/2023 Call $280.00","STO","1","$1.30","$129.98"
"8/30/2023","8/30/2023","8/31/2023","TSLA","TSLA 9/22/2023 Call $300.00","STO","1","$1.70","$169.98"
"8/29/2023","8/29/2023","8/30/2023","TSLA","TSLA 9/8/2023 Call $290.00","STO","1","$0.38","$37.98"
"8/29/2023","8/29/2023","8/30/2023","TSLA","TSLA 9/8/2023 Call $277.50","STO","1","$0.54","$53.98"
"8/29/2023","8/29/2023","8/30/2023","TSLA","TSLA 9/1/2023 Call $280.00","BTC","1","$0.04","($4.00)"
"8/29/2023","8/29/2023","8/30/2023","UBER","UBER 9/8/2023 Call $46.50","STO","1","$0.27","$26.98"
"8/29/2023","8/29/2023","8/30/2023","TSLA","TSLA 9/8/2023 Call $280.00","STO","1","$0.32","$31.98"
"8/28/2023","8/28/2023","8/29/2023","UBER","UBER 9/1/2023 Call $47.00","BTC","1","$0.05","($5.00)"
"8/25/2023","8/25/2023","8/28/2023","TSLA","Option Expiration for TSLA 8/25/2023 Put $225.00","OEXP","1","",""
"8/25/2023","8/25/2023","8/28/2023","TSLA","Option Expiration for TSLA 8/25/2023 Call $265.00","OEXP","2","",""
"8/24/2023","8/24/2023","8/25/2023","UBER","UBER 9/1/2023 Call $47.00","STO","1","$0.36","$35.98"
"8/23/2023","8/23/2023","8/24/2023","UBER","UBER 8/25/2023 Call $45.00","BTC","1","$0.86","($86.00)"
"8/21/2023","8/21/2023","8/22/2023","","ACH Withdrawal","ACH","","","($1,000.00)"
"8/18/2023","8/18/2023","8/21/2023","TSLA","Option Expiration for TSLA 8/18/2023 Call $280.00","OEXP","1","",""
"8/18/2023","8/18/2023","8/21/2023","ABCL","Option Expiration for ABCL 8/18/2023 Call $10.00","OEXP","1","",""
"8/18/2023","8/18/2023","8/21/2023","TSLA","Option Expiration for TSLA 8/18/2023 Call $257.50","OEXP","1","",""
"8/18/2023","8/18/2023","8/21/2023","HOOD","Option Expiration for HOOD 8/18/2023 Call $18.50","OEXP","3","",""
"8/18/2023","8/18/2023","8/21/2023","","ACH Deposit","ACH","","","$2,000.00"
"8/18/2023","8/18/2023","8/21/2023","UBER","UBER 8/25/2023 Call $45.00","STO","1","$0.44","$43.98"
"8/18/2023","8/18/2023","8/21/2023","UBER","UBER 9/8/2023 Call $47.00","BTC","1","$0.55","($55.00)"
"8/17/2023","8/17/2023","8/21/2023","ABCL","Abcellera Biologics
CUSIP: 00288U106","Sell","400","$5.56","$2,223.92"
"8/17/2023","8/17/2023","8/18/2023","","ACH Deposit","ACH","","","$5,000.00"
"8/15/2023","8/15/2023","8/16/2023","TSLA","TSLA 8/25/2023 Call $265.00","STO","1","$0.63","$62.98"
"8/15/2023","8/15/2023","8/16/2023","TSLA","TSLA 9/1/2023 Call $280.00","STO","1","$0.58","$57.98"
"8/14/2023","8/14/2023","8/15/2023","UBER","UBER 9/8/2023 Call $47.00","STO","1","$0.72","$71.98"
"8/14/2023","8/14/2023","8/15/2023","UBER","UBER 9/8/2023 Call $47.00","BTC","1","$0.70","($70.00)"
"8/14/2023","8/14/2023","8/15/2023","TSLA","TSLA 8/25/2023 Call $265.00","STO","1","$0.96","$95.98"
"8/11/2023","8/11/2023","8/14/2023","TSLA","Option Expiration for TSLA 8/11/2023 Call $265.00","OEXP","1","",""
"8/11/2023","8/11/2023","8/14/2023","TSLA","TSLA 8/18/2023 Call $257.50","STO","1","$1.20","$119.98"
"8/10/2023","8/10/2023","8/11/2023","TSLA","TSLA 8/25/2023 Put $225.00","STO","1","$2.30","$229.98"
"8/10/2023","8/10/2023","8/11/2023","TSLA","TSLA 8/11/2023 Put $232.50","BTC","1","$0.16","($16.00)"
"8/10/2023","8/10/2023","8/11/2023","TSLA","TSLA 8/18/2023 Call $280.00","STO","1","$0.34","$33.98"
"8/10/2023","8/10/2023","8/11/2023","TSLA","TSLA 8/11/2023 Call $267.50","BTC","1","$0.09","($9.00)"
"8/10/2023","8/10/2023","8/11/2023","TSLA","TSLA 8/18/2023 Call $300.00","BTC","1","$0.11","($11.00)"
"8/10/2023","8/10/2023","8/11/2023","TSLA","TSLA 8/11/2023 Call $277.50","BTC","1","$0.03","($3.00)"
"8/8/2023","8/8/2023","8/9/2023","TSLA","TSLA 8/11/2023 Call $265.00","STO","1","$0.50","$49.98"
"8/8/2023","8/8/2023","8/9/2023","TSLA","TSLA 8/11/2023 Put $232.50","STO","1","$0.63","$62.98"
"8/8/2023","8/8/2023","8/9/2023","TSLA","TSLA 8/11/2023 Call $267.50","STO","1","$0.40","$39.98"
"8/8/2023","8/8/2023","8/9/2023","TSLA","TSLA 8/11/2023 Call $277.50","STO","1","$0.15","$14.98"
"8/7/2023","8/7/2023","8/8/2023","TSLA","TSLA 8/11/2023 Put $237.50","STC","1","$2.85","$284.98"
"8/7/2023","8/7/2023","8/8/2023","TSLA","TSLA 8/11/2023 Put $237.50","BTO","1","$2.02","($202.00)"
"8/7/2023","8/7/2023","8/8/2023","UBER","UBER 9/8/2023 Call $47.00","STO","1","$1.11","$110.98"
"8/4/2023","8/4/2023","8/7/2023","UBER","UBER 8/4/2023 Put $46.50","OASGN","1","",""
"8/4/2023","8/4/2023","8/8/2023","UBER","Uber
CUSIP: 90353T100
1 UBER Option Assigned","Buy","100","$46.50","($4,650.00)"
"8/4/2023","8/4/2023","8/7/2023","TSLA","Option Expiration for TSLA 8/4/2023 Call $265.00","OEXP","5","",""
"8/4/2023","8/4/2023","8/7/2023","TSLA","TSLA 8/4/2023 Put $255.00","BTC","1","$0.72","($72.00)"
"8/4/2023","8/4/2023","8/7/2023","TSLA","TSLA 8/4/2023 Call $265.00","STO","1","$0.13","$12.98"
"8/4/2023","8/4/2023","8/7/2023","TSLA","TSLA 8/4/2023 Call $265.00","STO","1","$0.13","$12.98"
"8/4/2023","8/4/2023","8/7/2023","TSLA","TSLA 8/4/2023 Call $265.00","STO","1","$0.13","$12.98"
"8/4/2023","8/4/2023","8/7/2023","TSLA","TSLA 8/4/2023 Call $270.00","BTC","1","$0.04","($4.00)"
"8/4/2023","8/4/2023","8/7/2023","TSLA","TSLA 8/4/2023 Call $270.00","BTC","2","$0.04","($8.00)"
"8/4/2023","8/4/2023","8/4/2023","","Cash reward","MISC","","","$5.00"
"8/4/2023","8/4/2023","8/8/2023","MSFT","Microsoft
CUSIP: 594918104","Sell","1","$332.00","$332.00"
"8/3/2023","8/3/2023","8/4/2023","UBER","UBER 8/4/2023 Put $46.50","STO","1","$0.15","$14.98"
"8/2/2023","8/2/2023","8/3/2023","TSLA","TSLA 8/4/2023 Call $270.00","STO","1","$0.36","$35.98"
"8/2/2023","8/2/2023","8/3/2023","TSLA","TSLA 8/4/2023 Call $265.00","STO","2","$0.61","$121.98"
"8/2/2023","8/2/2023","8/3/2023","TSLA","TSLA 8/4/2023 Call $287.50","BTC","2","$0.07","($14.00)"
"8/2/2023","8/2/2023","8/3/2023","TSLA","TSLA 8/4/2023 Call $270.00","STO","2","$0.32","$63.98"
"8/2/2023","8/2/2023","8/3/2023","","ACH Deposit","ACH","","","$5,000.00"
"7/31/2023","7/31/2023","8/1/2023","TSLA","TSLA 8/4/2023 Put $255.00","STO","1","$0.95","$94.98"
"7/31/2023","7/31/2023","8/1/2023","ABCL","ABCL 8/18/2023 Call $10.00","STO","1","$0.05","$4.98"
"7/28/2023","7/28/2023","7/31/2023","TSLA","Option Expiration for TSLA 7/28/2023 Call $280.00","OEXP","1","",""
"7/28/2023","7/28/2023","7/31/2023","TSLA","Option Expiration for TSLA 7/28/2023 Put $252.50","OEXP","1","",""
"7/28/2023","7/28/2023","8/1/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","1","$96.50","$96.50"
"7/28/2023","7/28/2023","7/31/2023","HOOD","HOOD 8/18/2023 Call $18.50","STO","3","$0.08","$23.98"
"7/28/2023","7/28/2023","7/31/2023","TSLA","TSLA 8/4/2023 Call $287.50","STO","1","$0.82","$81.98"
"7/28/2023","7/28/2023","7/31/2023","TSLA","TSLA 8/4/2023 Call $287.50","STO","1","$0.71","$70.98"
"7/28/2023","7/28/2023","7/31/2023","TSLA","TSLA 8/4/2023 Call $300.00","BTC","2","$0.24","($48.00)"
"7/27/2023","7/27/2023","7/28/2023","TSLA","TSLA 7/28/2023 Put $252.50","STO","1","$0.17","$16.98"
"7/27/2023","7/27/2023","7/28/2023","TSLA","TSLA 7/28/2023 Call $280.00","STO","1","$0.16","$15.98"
"7/27/2023","7/27/2023","7/28/2023","TSLA","TSLA 7/28/2023 Call $297.50","BTC","1","$0.03","($3.00)"
"7/27/2023","7/27/2023","7/28/2023","TSLA","TSLA 8/4/2023 Put $235.00","BTC","1","$0.37","($37.00)"
"7/25/2023","7/25/2023","7/26/2023","TSLA","TSLA 7/28/2023 Call $297.50","STO","1","$0.21","$20.98"
"7/25/2023","7/25/2023","7/26/2023","TSLA","TSLA 8/4/2023 Put $235.00","STO","1","$0.66","$65.98"
"7/24/2023","7/24/2023","7/25/2023","TSLA","TSLA 8/18/2023 Call $320.00","BTC","1","$1.67","($167.00)"
"7/24/2023","7/24/2023","7/25/2023","TSLA","TSLA 7/28/2023 Call $285.00","BTC","1","$1.18","($118.00)"
"7/24/2023","7/24/2023","7/25/2023","TSLA","TSLA 8/4/2023 Call $300.00","STO","1","$1.21","$120.98"
"7/24/2023","7/24/2023","7/25/2023","TSLA","TSLA 8/4/2023 Call $300.00","STO","1","$1.22","$121.98"
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 7/21/2023 Put $297.50","OASGN","1","",""
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 7/21/2023 Put $300.00","OASGN","1","",""
"7/21/2023","7/21/2023","7/25/2023","TSLA","Tesla
CUSIP: 88160R101
1 TSLA Option Assigned","Buy","100","$297.50","($29,750.00)"
"7/21/2023","7/21/2023","7/25/2023","TSLA","Tesla
CUSIP: 88160R101
1 TSLA Option Assigned","Buy","100","$300.00","($30,000.00)"
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 7/21/2023 Put $287.50","OASGN","1","",""
"7/21/2023","7/21/2023","7/25/2023","TSLA","Tesla
CUSIP: 88160R101
1 TSLA Option Assigned","Buy","100","$287.50","($28,750.00)"
"7/21/2023","7/21/2023","7/24/2023","ABCL","Option Expiration for ABCL 7/21/2023 Call $10.00","OEXP","1","",""
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 8/18/2023 Call $300.00","STO","1","$3.55","$354.98"
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 7/28/2023 Call $285.00","STO","1","$1.46","$145.98"
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 8/18/2023 Call $320.00","STO","1","$1.91","$190.98"
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 7/28/2023 Call $290.00","BTC","1","$1.14","($114.00)"
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 8/4/2023 Call $297.50","BTC","1","$1.85","($185.00)"
"7/21/2023","7/21/2023","7/24/2023","TSLA","TSLA 7/28/2023 Call $292.50","BTC","1","$0.99","($99.00)"
"7/21/2023","7/21/2023","7/24/2023","","ACH Deposit","ACH","","","$7,000.00"
"7/20/2023","7/20/2023","7/21/2023","TSLA","TSLA 7/28/2023 Call $290.00","STO","1","$2.52","$251.98"
"7/20/2023","7/20/2023","7/21/2023","TSLA","TSLA 8/4/2023 Call $330.00","BTC","1","$0.80","($80.00)"
"7/20/2023","7/20/2023","7/21/2023","TSLA","TSLA 8/4/2023 Call $297.50","STO","1","$3.10","$309.98"
"7/20/2023","7/20/2023","7/21/2023","TSLA","TSLA 7/28/2023 Call $350.00","BTC","1","$0.12","($12.00)"
"7/20/2023","7/20/2023","7/21/2023","TSLA","TSLA 7/28/2023 Call $292.50","STO","1","$2.12","$211.98"
"7/20/2023","7/20/2023","7/21/2023","TSLA","TSLA 7/21/2023 Call $300.00","BTC","1","$0.14","($14.00)"
"7/19/2023","7/19/2023","7/20/2023","TSLA","TSLA 7/21/2023 Put $300.00","STO","1","$11.75","$1,174.98"
"7/19/2023","7/19/2023","7/20/2023","","ACH Deposit","ACH","","","$5,000.00"
"7/19/2023","7/19/2023","7/20/2023","TSLA","TSLA 7/21/2023 Put $272.50","BTC","1","$1.88","($188.00)"
